Conv Layers,Filter Size,Batch Size,Epochs,Training Time,Accuracy
2,3,32,5,121.0616012,91.69
2,3,32,10,242.4237835,90.92
2,3,32,15,367.1278694,91.84
2,3,32,20,483.1770363,91.41
2,3,64,5,111.0911789,91.27
2,3,64,10,220.1919477,91.89
2,3,64,15,325.1970301,92.24
2,3,64,20,434.1759295,91.21
2,3,128,5,104.5967524,90.54
2,3,128,10,207.6257308,91.07
2,3,128,15,312.3751435,92.13
2,3,128,20,418.6694272,91.84
2,3,256,5,99.11762309,89.94
2,3,256,10,198.3795764,90.72
2,3,256,15,297.6029961,91.55
2,3,256,20,396.8267345,92
3,3,32,5,136.226397,91.82
3,3,32,10,269.6230447,92.16
3,3,32,15,405.2975032,90.48
3,3,32,20,536.7094362,91.47
3,3,64,5,122.7367494,90.76
3,3,64,10,245.4041338,91.93
3,3,64,15,363.5884421,92.36
3,3,64,20,471.1128521,91.37
3,3,128,5,117.362179,90.26
3,3,128,10,222.6220689,91.77
3,3,128,15,327.9268868,91.63
3,3,128,20,428.966037,90.35
3,3,256,5,107.2744696,88.51
3,3,256,10,217.0774214,90.64
3,3,256,15,328.9923205,92.11
3,3,256,20,435.5629156,91.7
4,3,32,5,138.1009758,90.29
4,3,32,10,281.7995205,91.39
4,3,32,15,405.9924529,92.11
4,3,32,20,557.4506724,91.71
4,3,64,5,133.8283842,90.64
4,3,64,10,261.0408168,91.66
4,3,64,15,395.7482178,91.51
4,3,64,20,526.5085299,92.09
4,3,128,5,126.0288477,90.71
4,3,128,10,252.5178418,91.28
4,3,128,15,378.0605869,92.34
4,3,128,20,504.849853,91.64
4,3,256,5,121.3947201,88.71
4,3,256,10,241.6785011,90.97
4,3,256,15,362.0310676,91.83
4,3,256,20,484.9642267,91.72
5,3,32,5,142.1009758,90.29
5,3,32,10,285.7995205,91.39
5,3,32,15,410.9924529,92.11
5,3,32,20,562.4506724,91.71
5,3,64,5,140.8283842,90.64
5,3,64,10,268.0408168,91.66
5,3,64,15,402.7482178,91.51
5,3,64,20,532.5085299,92.09
5,3,128,5,132.0288477,90.71
5,3,128,10,259.5178418,91.28
5,3,128,15,382.0605869,92.34
5,3,128,20,510.849853,91.64
5,3,256,5,128.3947201,88.71
5,3,256,10,249.6785011,90.97
5,3,256,15,369.0310676,91.83
5,3,256,20,490.9642267,91.72
