Conv Layers,Filter Size,Batch Size,Epochs,Training Time,Accuracy
2,3,128,3,64.41393971443176,97.95
2,3,128,5,98.13871240615845,98.93
2,5,128,3,79.04592871665955,98.92
2,5,128,5,133.8468952178955,98.88
2,3,256,3,58.097763538360596,98.55
2,3,256,5,96.270761013031,98.79
2,5,256,3,69.91053771972656,98.87
2,5,256,5,114.80652475357056,98.86
3,3,128,3,67.63672757148743,98.83
3,3,128,5,124.08816003799438,99.12
3,5,128,3,102.6104679107666,99.3
3,5,128,5,167.76905155181885,99.16
3,3,256,3,71.00577068328857,98.83
3,3,256,5,118.28526759147644,99.09
3,5,256,3,91.18490219116211,98.9
3,5,256,5,142.51945066452026,99.01
